Months,Duration,Flights
1,4.32,6
2,8.75,12
3,6.05,10
4,12,18
5,18.12,20
6,9.73,17
7,26.13,25
8,44.55,30
9,25.8,26
10,17.83,23
11,7.22,11
12,9.37,12
