Months,Duration,Flights
1,3.25,8
2,7.47,7
3,11.3,7
4,16.7,13
5,23.7,17
6,25.68,14
7,16.73,13
8,19.12,18
9,11.18,16
10,13.9,18
11,10.22,13
12,5.5,5
