Months,Duration,Flights
1,1.62,5
2,5.97,8
3,9.97,20
4,16.37,10
5,23.53,11
6,29.3,20
7,4.52,9
8,38.08,15
9,9.67,13
10,22.25,10
11,2.25,3
12,1,3
